Jurisdiction,Region,State,GeoID,Population,CDT_Jurisdiction,DisplayName
Bates,HCC,MO,29013,16172,1,"Bates, MO"
Benton,HCC,MO,29015,19443,1,"Benton, MO"
Carroll,HCC,MO,29033,8679,1,"Carroll, MO"
Cass,MARC,MO,29037,105780,0,"Cass, MO"
Cass (No KCMO),MARC,MO,29037NoKC,105580,1,"Cass (No KCMO), MO"
Clay,MARC,MO,29047,249948,0,"Clay, MO"
Clay (No KCMO),MARC,MO,29047NoKC,121716,1,"Clay (No KCMO), MO"
HCC,HCC,,HCC,241006,0,HCC
Henry,HCC,MO,29083,21824,1,"Henry, MO"
Jackson,MARC,MO,29095,703011,0,"Jackson, MO"
Jackson (No KCMO),MARC,MO,29095NoKC,386175,1,"Jackson (No KCMO), MO"
Johnson,MARC,KS,20091,602401,1,"Johnson, KS"
Johnson,HCC,MO,29101,54062,1,"Johnson, MO"
Kansas,State,KS,20,2913314,1,Kansas
Kansas (In MARC),StateMARC,KS,20MARCReg,883825,0,Kansas (In MARC)
KCMO,MARC,MO,2938000,491918,1,"Kansas City, MO"
Lafayette,HCC,MO,29107,32708,1,"Lafayette, MO"
Leavenworth,MARC,KS,20103,81758,1,"Leavenworth, KS"
MARC,MARC,,MARC,2070000,0,MARC
Miami,MARC,KS,20121,34237,1,"Miami, KS"
Missouri,State,MO,29,6137428,1,Missouri
Missouri (In MARC),StateMARC,MO,29MARCReg,1186175,0,Missouri (In MARC)
Pettis,HCC,MO,29159,42339,1,"Pettis, MO"
Platte,MARC,MO,29165,104418,0,"Platte, MO"
Platte (No KCMO),MARC,MO,29165NoKC,54359,1,"Platte (No KCMO), MO"
Ray,MARC_HCC,MO,29177,23018,1,"Ray, MO"
Saline,HCC,MO,29195,22761,1,"Saline, MO"
Wyandotte,MARC,KS,20209,165429,1,"Wyandotte, KS"
Southern HCC,HCCRegion,MO,HCCSouth,153840,0,Southern HCC
Northern HCC,HCCRegion,MO,HCCNorth,87166,0,Northern HCC
